"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"__mod_lruvec_state","0","0","0","980357","1960714","0","5","vmlinux","__mod_lruvec_state","[Unknown]","0xffffffff9be0d430"
"flush_tlb_func","0","0","0","2285825","1960714","0","5","vmlinux","flush_tlb_func","[Unknown]","0xffffffff9baa5b70"
"__mem_cgroup_uncharge_folios","0","0","0","3921428","7842856","0","5","vmlinux","__mem_cgroup_uncharge_folios","[Unknown]","0xffffffff9be10830"
"nmi_handle","0","0","0","0","1960714","0","0","vmlinux","nmi_handle","[Unknown]","0xffffffff9ba44850"
"_raw_spin_trylock","0","0","0","3921428","4901785","0","5","vmlinux","_raw_spin_trylock","[Unknown]","0xffffffff9c6f7a50"
"percpu_counter_add_batch","0","0","0","1960714","980357","0","0","vmlinux","percpu_counter_add_batch","[Unknown]","0xffffffff9c136bf0"
"policy_nodemask","0","0","0","4901785","8823213","0","0","vmlinux","policy_nodemask","[Unknown]","0xffffffff9bddb8c0"
"native_set_pte","0","0","0","2941071","0","0","0","vmlinux","native_set_pte","[Unknown]","0xffffffff9ba96d70"
"uncharge_batch","0","0","0","980357","0","0","0","vmlinux","uncharge_batch","[Unknown]","0xffffffff9be0d0c0"
"split_huge_pmd_locked","0","0","0","0","980357","0","0","vmlinux","split_huge_pmd_locked","[Unknown]","0xffffffff9bdfbcb0"
"irqentry_enter","0","0","0","980357","980357","0","0","vmlinux","irqentry_enter","[Unknown]","0xffffffff9c6e9a80"
"ct_nmi_exit","0","0","0","980357","980357","0","0","vmlinux","ct_nmi_exit","[Unknown]","0xffffffff9c6ea180"
"_raw_spin_unlock","0","0","0","5882142","6862499","0","0","vmlinux","_raw_spin_unlock","[Unknown]","0xffffffff9c6f81c0"
"blk_cgroup_congested","0","1","0","0","3921428","0","5","vmlinux","blk_cgroup_congested","[Unknown]","0xffffffff9c048e20"
"cond_accept_memory","0","0","0","1960714","2941071","0","0","vmlinux","cond_accept_memory","[Unknown]","0xffffffff9bda1cc0"
"__folio_mod_stat","0","0","0","980357","0","0","0","vmlinux","__folio_mod_stat","[Unknown]","0xffffffff9bd8d0d0"
"mem_cgroup_from_task","0","0","0","2941071","0","0","0","vmlinux","mem_cgroup_from_task","[Unknown]","0xffffffff9be09460"
"__page_cache_release.part.0","0","0","0","17646426","19607140","0","5","vmlinux","__page_cache_release.part.0","[Unknown]","0xffffffff9bd2d9c0"
"free_pcppages_bulk","0","0","0","15685712","19607140","0","5","vmlinux","free_pcppages_bulk","[Unknown]","0xffffffff9bda1fe0"
"__lruvec_stat_mod_folio","0","0","0","12744641","11764284","0","5","vmlinux","__lruvec_stat_mod_folio","[Unknown]","0xffffffff9be0b6a0"
"asm_exc_nmi","0","0","","0","1960714","0","0","vmlinux","asm_exc_nmi","[Unknown]","0xffffffff9c801d90"
"get_pfnblock_flags_mask","0","0","0","11764284","0","0","0","vmlinux","get_pfnblock_flags_mask","[Unknown]","0xffffffff9bd9fea0"
"pfn_pte","0","0","0","1960714","0","0","0","vmlinux","pfn_pte","[Unknown]","0xffffffff9bd6e320"
"set_ptes.isra.0","0","0","0","1960714","980357","0","0","vmlinux","set_ptes.isra.0","[Unknown]","0xffffffff9bd6e120"
"posix_cpu_timers_work","0","0","0","0","0","0","15","vmlinux","posix_cpu_timers_work","[Unknown]","0xffffffff9bbadd70"
