"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"merge_implicants_pext","0.00703125","0","0","115434500","43403372","0","3.57143","prime_implicants","merge_implicants_pext","pext.c","0x5e80"
"__free_one_page","0.00602679","0.636364","0","12005188","19209862","0","5","vmlinux","__free_one_page","[Unknown]","0xffffffff9bda1040"
"error_entry","0.00602679","0","0","1846952","2770428","0","0","vmlinux","error_entry","[Unknown]","0xffffffff9c801c30"
"__count_memcg_events","0.00602679","0","0","12928664","12005188","0","4.33292","vmlinux","__count_memcg_events","[Unknown]","0xffffffff9be0d480"
"common_interrupt_return","0.00602679","0","0","10528407","0","0","5","vmlinux","common_interrupt_return","[Unknown]","0xffffffff9c801830"
"lru_add","0.00602679","0.333333","0","12005188","8681455","0","5","vmlinux","lru_add","[Unknown]","0xffffffff9bd2c9d0"
"__next_zones_zonelist","0.00602679","0","","18839691","370171","0","5","vmlinux","__next_zones_zonelist","[Unknown]","0xffffffff9bd4c3c0"
"_mcount","0.00602679","0","0","35092088","34168612","0","2.85714","libc.so.6","_mcount","_mcount.S","0x114860"
"__alloc_pages_noprof","0.00602679","0","0","10158236","16439434","0","5","vmlinux","__alloc_pages_noprof","[Unknown]","0xffffffff9bda7d00"
"__folio_batch_add_and_move","0.00502232","1","0","2770428","4987551","0","5","vmlinux","__folio_batch_add_and_move","[Unknown]","0xffffffff9bd2df00"
"count_memcg_events.constprop.0","0.00502232","0","0","923476","2770428","0","0","vmlinux","count_memcg_events.constprop.0","[Unknown]","0xffffffff9bd6cd90"
"folios_put_refs","0.00502232","0.5","0","0","1846952","0","5","vmlinux","folios_put_refs","[Unknown]","0xffffffff9bd2dbd0"
"up_read","0.00502232","0.333333","0","9234760","4064075","0","0","vmlinux","up_read","[Unknown]","0xffffffff9bb46ca0"
"folio_add_lru","0.00502232","0.333333","0","10158236","923476","0","5","vmlinux","folio_add_lru","[Unknown]","0xffffffff9bd2dfc0"
"__list_add_valid_or_report","0.00502232","0","0","16069263","0","0","0","vmlinux","__list_add_valid_or_report","[Unknown]","0xffffffff9c0a5b60"
"cond_accept_memory","0.00401786","0","0","14222311","16622568","0","5","vmlinux","cond_accept_memory","[Unknown]","0xffffffff9bda1cc0"
"access_error","0.00401786","0","0","6281198","0","0","0","vmlinux","access_error","[Unknown]","0xffffffff9baa12c0"
"__mem_cgroup_charge","0.00401786","","","3140599","9234760","0","5","vmlinux","__mem_cgroup_charge","[Unknown]","0xffffffff9be104e0"
"folio_add_new_anon_rmap","0.00401786","0","0","12928664","7757979","0","5","vmlinux","folio_add_new_anon_rmap","[Unknown]","0xffffffff9bd8e780"
"steal_suitable_fallback","0.00401786","0","0","6464332","0","0","0","vmlinux","steal_suitable_fallback","[Unknown]","0xffffffff9bda06b0"
"__mod_node_page_state","0.00401786","0","","923476","3693904","0","5","vmlinux","__mod_node_page_state","[Unknown]","0xffffffff9bd4d880"
"pte_offset_map_nolock","0.00401786","0","0","2770428","4987551","0","5","vmlinux","pte_offset_map_nolock","[Unknown]","0xffffffff9bd8c070"
"_mm256_or_si256","0.00401786","0","0","0","0","0","0","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3574"
"folio_zero_user","0.00401786","0","0","0","1846952","0","0","vmlinux","folio_zero_user","[Unknown]","0xffffffff9bd77e50"
"alloc_pages_mpol_noprof","0.00401786","","0","8311284","3693904","0","5","vmlinux","alloc_pages_mpol_noprof","[Unknown]","0xffffffff9bdde660"
"__mod_zone_page_state","0.00301339","0","0","15886129","1846952","0","0","vmlinux","__mod_zone_page_state","[Unknown]","0xffffffff9bd4dd20"
